Neu-Hohenschönhausen, 52.56681, 13.51255
Neu-Ulm, 48.39279, 10.01112
Neubrandenburg, 53.55735, 13.26105
Neubrück, 51.13434, 6.63857
Neue Neustadt, 52.15, 11.63333
Neukölln, 52.47719, 13.43126
Neumünster, 54.07399, 9.98456
Neuss, 51.19807, 6.68504
Neustadt an der Weinstraße, 49.35009, 8.13886
Neuwied, 50.4336, 7.47057
Nippes, 50.96545, 6.95314
Norderstedt, 53.70177, 9.99328
Nordhorn, 52.43081, 7.06833
Nürnberg, 49.45421, 11.07752
Oberhausen, 51.47805, 6.8625
Offenbach, 50.10061, 8.76647
Offenburg, 48.47377, 7.94495
Oldenburg, 53.14039, 8.21479
Osnabrück, 52.27264, 8.0498
Paderborn, 51.71905, 8.75439
Pankow, 52.56926, 13.40186
Passau, 48.5665, 13.43122
Pforzheim, 48.88436, 8.69892
Plauen, 50.4973, 12.13782
Porz am Rhein, 50.88637, 7.0583
Potsdam, 52.39886, 13.06566
Prenzlauer Berg, 52.53878, 13.42443
Pulheim, 50.99965, 6.80632
Rahlstedt, 53.60194, 10.15667
Ratingen, 51.29724, 6.84929
Recklinghausen, 51.61379, 7.19738
Regensburg, 49.01513, 12.10161
Reinickendorf, 52.56395, 13.33552
Remscheid, 51.17983, 7.1925
Reutlingen, 48.49144, 9.20427
Rheine, 52.28509, 7.44055
Rheinhausen, 51.40055, 6.71187
Rodenkirchen, 50.89328, 6.99481
Rosenheim, 47.85637, 12.12247
Rostock, 54.0887, 12.14049
Rüsselsheim am Main, 49.98955, 8.42251
Saarbrücken, 49.23262, 7.00982
Salzgitter, 52.15705, 10.4154
Sankt Augustin, 50.77538, 7.197
Schweinfurt, 50.04937, 10.22175
Schwerin, 53.62937, 11.41316
Schwerte, 51.44387, 7.5675
Schwäbisch Gmünd, 48.79947, 9.79809
Schöneberg, 52.49801, 13.3443
Siegen, 50.87481, 8.02431
Sindelfingen, 48.7, 9.01667
Solingen, 51.17343, 7.0845
Speyer, 49.32083, 8.43111
Steglitz, 52.45606, 13.332
