latitude,longitude,radius
42.038860000000035,8.813719999999892,14.8
42.81886000000016,9.533719999999876,14.8
43.058860000000195,2.8137199999999933,45.5
43.35886000000024,5.753719999999957,45.5
43.47886000000026,6.6137199999999385,14.8
43.49886000000026,-0.3462800000000086,45.5
43.49886000000026,3.8137199999999942,14.8
43.59886000000028,-1.4862800000000096,14.8
43.65886000000029,7.093719999999928,14.8
43.698860000000295,1.6937199999999926,45.5
43.7388600000003,4.8337199999999765,45.5
44.23886000000038,4.1737199999999905,14.8
44.31886000000039,0.6937199999999918,14.8
44.67886000000045,4.813719999999977,14.8
44.67886000000045,6.153719999999948,14.8
44.77886000000046,-0.5062800000000087,14.8
44.918860000000485,5.033719999999972,14.8
45.038860000000504,2.533719999999993,14.8
45.43886000000057,1.133719999999992,45.5
45.51886000000058,5.953719999999953,45.5
45.738860000000614,4.433719999999985,45.5
45.77886000000062,0.19371999999999143,14.8
45.89886000000064,3.1537199999999936,14.8
46.35886000000071,-1.0462800000000092,45.5
46.378860000000714,4.913719999999975,45.5
46.49886000000073,6.513719999999941,14.8
46.73886000000077,2.7137199999999932,45.5
46.85886000000079,-0.046280000000008564,45.5
46.9388600000008,1.7537199999999926,14.8
47.278860000000854,0.6137199999999917,14.8
47.35886000000087,-1.1062800000000093,45.5
47.37886000000087,6.0537199999999505,14.8
47.39886000000087,-2.14628000000001,14.8
47.43886000000088,5.073719999999971,14.8
47.71886000000092,1.3937199999999923,14.8
47.77886000000093,-2.6862800000000107,14.8
47.87886000000095,-3.3462800000000112,14.8
47.87886000000095,6.833719999999934,45.5
47.918860000000954,3.653719999999994,14.8
48.01886000000097,1.9937199999999928,14.8
48.07886000000098,-0.20628000000000854,45.5
48.118860000000986,-4.026280000000011,14.8
48.238860000001004,-1.6262800000000097,14.8
48.51886000000105,-4.4462800000000025,14.8
48.558860000001054,4.353719999999987,45.5
48.558860000001054,6.133719999999949,14.8
48.57886000000106,2.473719999999993,14.8
48.63886000000107,-2.7062800000000107,14.8
48.67886000000107,1.4537199999999924,45.5
48.698860000001076,7.713719999999915,14.8
48.77886000000109,-1.98628000000001,14.8
49.09886000000114,2.433719999999993,45.5
49.23886000000116,6.173719999999948,14.8
49.31886000000117,-0.3662800000000086,14.8
49.4788600000012,3.493719999999994,45.5
49.59886000000122,0.6937199999999918,45.5
49.898860000001264,4.753719999999978,14.8
50.01886000000128,2.373719999999993,14.8
50.33886000000133,3.353719999999994,45.5
50.63886000000138,2.213719999999993,45.5
