latitude,longitude,radius
47.556889999999996,9.30341999999993,17.8
47.876890000000046,10.383419999999907,17.8
47.996890000000064,12.223419999999868,17.8
48.35689000000012,8.183419999999954,47.9
48.47689000000014,11.523419999999883,47.9
48.67689000000017,9.643419999999923,47.9
48.71689000000018,13.50341999999984,17.8
49.156890000000246,12.203419999999868,17.8
49.276890000000265,8.723419999999942,47.9
49.476890000000296,7.123419999999976,47.9
49.55689000000031,11.303419999999887,47.9
49.916890000000365,10.103419999999913,17.8
50.21689000000041,8.763419999999941,47.9
50.45689000000045,7.643419999999965,17.8
50.69689000000049,9.76341999999992,17.8
50.85689000000051,11.18341999999989,17.8
50.91689000000052,6.663419999999986,47.9
50.91689000000052,12.263419999999867,47.9
51.03689000000054,8.243419999999952,47.9
51.196890000000565,13.823419999999834,17.8
51.29689000000058,15.083419999999807,17.8
51.67689000000064,7.223419999999974,47.9
51.67689000000064,9.443419999999927,47.9
51.73689000000065,11.583419999999881,47.9
51.91689000000068,14.343419999999822,17.8
52.096890000000705,8.34341999999995,47.9
52.19689000000072,10.183419999999911,47.9
52.39689000000075,7.323419999999972,17.8
52.39689000000075,12.803419999999855,17.8
52.45689000000076,13.383419999999843,17.8
52.49689000000077,14.623419999999816,17.8
53.45689000000092,8.483419999999947,47.9
53.45689000000092,10.483419999999905,47.9
53.51689000000093,7.283419999999973,17.8
53.71689000000096,13.263419999999845,17.8
53.77689000000097,11.503419999999883,17.8
54.15689000000103,13.163419999999848,17.8
54.17689000000103,10.023419999999915,17.8
54.23689000000104,12.243419999999867,17.8
54.87689000000114,9.663419999999922,17.8
